"V1","V3"
"Ministry Assistant","Productivity"
"Mise en page","Photography"
"Mobizen","Productivity"
"Money Manager","Finance"
"Moon Phase","Weather"
"Motionleap","Photography"
"MusicID","Music & Audio"
"Muviz Edge","Personalization"
"Muzio Player","Music & Audio"
"My Calendar","Health & Fitness"
"My Flow","Tools"
"My Sprint","Tools"
"My Study Life","Education"
"MyCash","Finance"
"MyDigicel","Tools"
"MyFitnessPal","Health & Fitness"
"Myfxbook","Finance"
"NIV1984","Books & Reference"
"Netflix","Entertainment"
"Newegg","Shopping"
"News","News & Magazines"
"Nextcloud","Productivity"
"Nextcloud Notes","Tools"
"Noise Reducer","Music & Audio"
"Notes","Tools"
"Notes Keep","Productivity"
"Notion","Productivity"
"Nova Launcher","Personalization"
"N﻿C﻿B","Finance"
"Office","Productivity"
"One Line","Board"
"OneDrive","Productivity"
"OneNote","Productivity"
"OnePlus Icon Pack - Round","Personalization"
"OnePlus Icon Pack - Square","Personalization"
"OnePlus Switch","Tools"
"Open Camera","Photography"
"OpenKeychain","Communication"
"Opera","Communication"
"Ornate KWGT","Personalization"
"Outlook","Productivity"
"PAGF","News & Magazines"
"PDF Scanner","Business"
"PLT","Shopping"
"PayPal","Finance"
"Personal stickers for WhatsApp","Communication"
"PhotoLayers","Photography"
"Photos","Photography"
"Photoshop Express","Photography"
"PhyWiz","Education"
"PicsArt","Photography"
"Pin Pin","Education"
"Pinterest","Lifestyle"
"Play Magnus","Board"
"PlayGo","Entertainment"
"Plus","Communication"
"Polaris Office","Productivity"
"Presently","Lifestyle"
"Preset","Photography"
"Preview","Photography"
"Prime Video","Entertainment"
"Protect","Business"
"ProtonMail","Communication"
"Pure Writer","Lifestyle"
"QR Droid","Productivity"
"QR Scanner","Tools"
"QR Scanner","Productivity"
"Rainpaper","Personalization"
"ReadScripture","Books & Reference"
"Remember Me","Education"
"Remini","Photography"
"Remove Unwanted Object","Photography"
"Replika","Health & Fitness"
"Retro Music","Music & Audio"
"RetroArch Plus","Action"
"Rig Nation","Social"
"Ringtone Maker","Personalization"
"Roblox","Adventure"
"Rocketship","Business"
"SDA Hymnal","Books & Reference"
"SHEIN","Shopping"
"Samsung Global Goals","Education"
"Samsung Health","Health & Fitness"
"Samsung Internet","Communication"
"Samsung Members","Tools"
"Samsung Music","Music & Audio"
"Samsung Notes","Productivity"
"Scotiabank","Finance"
"ScreenshotGo","Tools"
"Secure Wi-Fi","Tools"
"Serial Bluetooth Terminal","Tools"
"ServiceDesk Plus","Business"
"Shazam","Music & Audio"
"Sheets","Productivity"
"Shop","Shopping"
"Signal","Communication"
"Signature Maker","Personalization"
"Skill Yoga","Health & Fitness"
"Skype","Communication"
"Slack","Business"
"Sleep","Lifestyle"
"Sleepytime","Productivity"
"Slides","Productivity"
"Slowly","Lifestyle"
"Smart Switch","Tools"
"SmartThings","Lifestyle"
"SnapBridge","Photography"
"Snapchat","Social"
"Snapseed","Photography"
"Socratic","Education"
"SoundCloud","Music & Audio"
"Spanish Listen and Read","Education"
"Speedtest","Tools"
